bigram,frequency,word1,word2,word1_freq,word2_freq
"('grace', 'of')",0.00013883104262113008,grace,of,0.000277623542476402,0.04094947251526929
"('her', 'how')",0.00013883104262113008,her,how,0.000971682398667407,0.000694058856191005
"('manner', 'of')",0.00013883104262113008,manner,of,0.000416435313714603,0.04094947251526929
"('to', 'a')",0.0009718172983479105,to,a,0.03678511937812327,0.018184342032204332
"('man', 'to')",0.00013883104262113008,man,to,0.001249305941143809,0.03678511937812327
"('any', 'further')",0.00027766208524226016,any,further,0.005136035535813437,0.000694058856191005
"('from', 'men')",0.00013883104262113008,from,men,0.006107717934480844,0.000694058856191005
"('invariable', 'principles')",0.00013883104262113008,invariable,principles,0.000138811771238201,0.000694058856191005
"('but', 'proceed')",0.00013883104262113008,but,proceed,0.00694058856191005,0.000694058856191005
"('n', '71')",0.00013883104262113008,n,71,0.000971682398667407,0.000277623542476402
"('detected', 'at')",0.00013883104262113008,detected,at,0.000138811771238201,0.001943364797334814
"('infinitely', 'and')",0.00013883104262113008,infinitely,and,0.000138811771238201,0.04525263742365353
"('the', 'dead')",0.00027766208524226016,the,dead,0.057884508606329814,0.000416435313714603
"('perfect', 'that')",0.00013883104262113008,perfect,that,0.000832870627429206,0.02373681288173237
"('caſes', 'to')",0.00013883104262113008,caſes,to,0.000555247084952804,0.03678511937812327
"('an', 'indelible')",0.00013883104262113008,an,indelible,0.003470294280955025,0.000138811771238201
"('apoſtle', 's')",0.00027766208524226016,apoſtle,s,0.001526929483620211,0.002498611882287618
"('they', 'eſteem')",0.00013883104262113008,they,eſteem,0.004580788450860633,0.000138811771238201
"('credence', 'given')",0.00013883104262113008,credence,given,0.000138811771238201,0.000832870627429206
"('135', 'three')",0.00013883104262113008,135,three,0.000138811771238201,0.000277623542476402
"('humiliation', 'in')",0.00013883104262113008,humiliation,in,0.000138811771238201,0.016102165463631316
"('scripture', 'as')",0.00013883104262113008,scripture,as,0.002082176568573015,0.013742365352581899
"('exerted', 'where')",0.00013883104262113008,exerted,where,0.000138811771238201,0.002498611882287618
"('was', 'a')",0.0009718172983479105,was,a,0.007079400333148251,0.018184342032204332
"('were', 'ſo')",0.00013883104262113008,were,ſo,0.003053858967240422,0.004858411993337035
"('frame', 'alter')",0.00013883104262113008,frame,alter,0.000416435313714603,0.001110494169905608
"('or', 'alteration')",0.00013883104262113008,or,alteration,0.009994447529150472,0.000694058856191005
"('aſcenſion', 'into')",0.00013883104262113008,aſcenſion,into,0.000138811771238201,0.00138811771238201
"('add', 'to')",0.00013883104262113008,add,to,0.000416435313714603,0.03678511937812327
"('will', 'make')",0.00013883104262113008,will,make,0.003331482509716824,0.000416435313714603
"('of', 'divinity')",0.00013883104262113008,of,divinity,0.04094947251526929,0.000138811771238201
"('regard', 'according')",0.00013883104262113008,regard,according,0.000277623542476402,0.000694058856191005
"('ſet', 'up')",0.00041649312786339027,ſet,up,0.000832870627429206,0.001110494169905608
"('the', 'lamb')",0.00013883104262113008,the,lamb,0.057884508606329814,0.000138811771238201
"('another', 'for')",0.00013883104262113008,another,for,0.004303164908384231,0.010827318156579679
"('the', 'wolf')",0.00013883104262113008,the,wolf,0.057884508606329814,0.000138811771238201
"('left', 'and')",0.00013883104262113008,left,and,0.000277623542476402,0.04525263742365353
"('then', 'to')",0.00027766208524226016,then,to,0.00138811771238201,0.03678511937812327
"('revelation', 'we')",0.00027766208524226016,revelation,we,0.010827318156579679,0.00694058856191005
"('ſame', 'common')",0.00013883104262113008,ſame,common,0.001665741254858412,0.000416435313714603
"('for', 'our')",0.00013883104262113008,for,our,0.010827318156579679,0.002359800111049417
"('any', 'one')",0.00013883104262113008,any,one,0.005136035535813437,0.002082176568573015
"('directions', 'they')",0.00013883104262113008,directions,they,0.000277623542476402,0.004580788450860633
"('ſhall', 'he')",0.00013883104262113008,ſhall,he,0.004025541365907829,0.004858411993337035
"('true', 'that')",0.00013883104262113008,true,that,0.001943364797334814,0.02373681288173237
"('whom', 'we')",0.00013883104262113008,whom,we,0.000138811771238201,0.00694058856191005
"('deſtroys', 'them')",0.00013883104262113008,deſtroys,them,0.000138811771238201,0.00277623542476402
"('came', 'into')",0.00013883104262113008,came,into,0.000555247084952804,0.00138811771238201
"('introverſions', 'and')",0.00013883104262113008,introverſions,and,0.000138811771238201,0.04525263742365353
"('faith', 'is')",0.00013883104262113008,faith,is,0.000832870627429206,0.019850083287062743
"('force', 'when')",0.00013883104262113008,force,when,0.000277623542476402,0.004858411993337035
"('be', 'given')",0.00013883104262113008,be,given,0.019988895058300944,0.000832870627429206
"('two', 'his')",0.00013883104262113008,two,his,0.000694058856191005,0.003747917823431427
"('cannot', 'ſuppoſe')",0.00041649312786339027,cannot,ſuppoſe,0.000832870627429206,0.000832870627429206
"('laid', 'aſide')",0.00013883104262113008,laid,aſide,0.000138811771238201,0.000138811771238201
"('it', 'may')",0.0008329862557267805,it,may,0.02345918933925597,0.003192670738478623
"('made', 'them')",0.00027766208524226016,made,them,0.001665741254858412,0.00277623542476402
"('evidence', 'than')",0.00013883104262113008,evidence,than,0.002220988339811216,0.004719600222098834
"('6', 'c')",0.00013883104262113008,6,c,0.000694058856191005,0.00277623542476402
"('is', 'that')",0.00041649312786339027,is,that,0.019850083287062743,0.02373681288173237
"('becauſe', 'i')",0.00013883104262113008,becauſe,i,0.000832870627429206,0.003331482509716824
